,merge_sort,insertion_sort,timsort
100 елементів,0.0002113960072165355,0.0002019640087382868,1.2752003385685384e-05
1000 елементів,0.0018984430062118918,0.028613595000933856,0.0001170169998658821
5000 елементів,0.014341116009745747,0.7457249690050958,0.0006775710062356666
